Name,City,Country Code,Days,Start,End
PYTHON  DataAnalysis Python Spring   Assignment   Data sa by thai cuisine san jose,San Jose,US,0,1100,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data sa by thai cuisine san jose,San Jose,US,0,1700,2300
PYTHON  DataAnalysis Python Spring   Assignment   Data sa by thai cuisine san jose,San Jose,US,1,1100,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data sa by thai cuisine san jose,San Jose,US,1,1700,2300
PYTHON  DataAnalysis Python Spring   Assignment   Data sa by thai cuisine san jose,San Jose,US,2,1100,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data sa by thai cuisine san jose,San Jose,US,2,1700,2300
PYTHON  DataAnalysis Python Spring   Assignment   Data sa by thai cuisine san jose,San Jose,US,3,1100,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data sa by thai cuisine san jose,San Jose,US,3,1700,2300
PYTHON  DataAnalysis Python Spring   Assignment   Data sa by thai cuisine san jose,San Jose,US,4,1100,1500
PYTHON  DataAnalysis Python Spring   Assignment   Data sa by thai cuisine san jose,San Jose,US,4,1700,2300
PYTHON  DataAnalysis Python Spring   Assignment   Data sa by thai cuisine san jose,San Jose,US,5,1200,1600
PYTHON  DataAnalysis Python Spring   Assignment   Data sa by thai cuisine san jose,San Jose,US,5,1700,2300
PYTHON  DataAnalysis Python Spring   Assignment   Data sa by thai cuisine san jose,San Jose,US,6,1200,1600
PYTHON  DataAnalysis Python Spring   Assignment   Data sa by thai cuisine san jose,San Jose,US,6,1700,2300
